name,enrollment_no,password
Student 1,ENR001,pass001
Student 2,ENR002,pass002
Student 3,ENR003,pass003
Student 4,ENR004,pass004
Student 5,ENR005,pass005
Student 6,ENR006,pass006
Student 7,ENR007,pass007
Student 8,ENR008,pass008
Student 9,ENR009,pass009
Student 10,ENR010,pass010
Student 11,ENR011,pass011
Student 12,ENR012,pass012
Student 13,ENR013,pass013
Student 14,ENR014,pass014
Student 15,ENR015,pass015
Student 16,ENR016,pass016
Student 17,ENR017,pass017
Student 18,ENR018,pass018
Student 19,ENR019,pass019
Student 20,ENR020,pass020
Student 21,ENR021,pass021
Student 22,ENR022,pass022
Student 23,ENR023,pass023
Student 24,ENR024,pass024
Student 25,ENR025,pass025
Student 26,ENR026,pass026
Student 27,ENR027,pass027
Student 28,ENR028,pass028
Student 29,ENR029,pass029
Student 30,ENR030,pass030
